날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 09월 19일,"19,538.90","19,417.40","19,666.60","18,277.80",423.43K,0.62%
2022년 09월 18일,"19,418.80","20,113.90","20,113.90","19,347.70",273.11K,-3.45%
2022년 09월 17일,"20,113.50","19,802.80","20,178.60","19,761.00",204.58K,1.57%
2022년 09월 16일,"19,802.40","19,701.90","19,883.00","19,352.90",315.59K,0.51%
2022년 09월 15일,"19,701.70","20,222.30","20,321.40","19,532.30",358.42K,-2.58%
2022년 09월 14일,"20,222.50","20,175.50","20,503.70","19,654.20",374.22K,0.23%
2022년 09월 13일,"20,175.50","22,395.30","22,702.50","19,909.60",485.32K,-9.91%
2022년 09월 12일,"22,395.30","21,836.60","22,465.40","21,581.60",431.98K,2.57%
2022년 09월 11일,"21,834.90","21,650.40","21,836.40","21,363.00",297.12K,0.85%
2022년 09월 10일,"21,650.40","21,363.80","21,790.60","21,139.90",331.12K,1.33%
2022년 09월 09일,"21,365.20","19,318.80","21,545.70","19,294.10",480.37K,10.60%
2022년 09월 08일,"19,317.40","19,281.50","19,444.70","19,034.50",291.43K,0.19%
2022년 09월 07일,"19,281.50","18,786.30","19,445.90","18,548.40",319.10K,2.64%
2022년 09월 06일,"18,786.40","19,793.40","20,169.30","18,723.30",402.43K,-5.09%
2022년 09월 05일,"19,793.10","19,999.90","20,042.90","19,650.70",238.71K,-1.03%
2022년 09월 04일,"19,999.90","19,832.20","20,017.80","19,594.70",158.27K,0.85%
2022년 09월 03일,"19,831.40","19,952.80","20,043.80","19,660.70",157.85K,-0.61%
2022년 09월 02일,"19,952.70","20,131.60","20,428.20","19,764.70",272.22K,-0.86%
2022년 09월 01일,"20,126.10","20,049.90","20,202.70","19,584.40",275.08K,0.41%
2022년 08월 31일,"20,043.90","19,793.40","20,469.10","19,793.40",318.17K,1.27%
2022년 08월 30일,"19,792.60","20,295.60","20,558.20","19,559.70",308.41K,-2.48%
2022년 08월 29일,"20,295.80","19,551.30","20,394.50","19,551.20",248.04K,3.81%
2022년 08월 28일,"19,550.20","20,034.20","20,150.80","19,542.90",159.60K,-2.41%
2022년 08월 27일,"20,033.90","20,249.90","20,343.60","19,849.80",187.34K,-1.07%
2022년 08월 26일,"20,249.90","21,564.20","21,815.30","20,122.40",322.16K,-6.10%
2022년 08월 25일,"21,565.40","21,365.40","21,801.20","21,324.80",190.15K,0.94%
2022년 08월 24일,"21,365.20","21,516.20","21,832.30","21,171.10",202.40K,-0.71%
2022년 08월 23일,"21,517.20","21,416.50","21,661.00","20,919.60",228.65K,0.47%
2022년 08월 22일,"21,416.30","21,516.80","21,517.40","20,912.10",251.83K,-0.47%
2022년 08월 22일,"21,416.30","21,516.80","21,517.40","20,912.10",251.83K,-0.47%
2022년 08월 21일,"21,517.20","21,138.90","21,692.40","21,077.40",177.52K,1.79%
2022년 08월 20일,"21,138.90","20,830.70","21,357.40","20,784.80",206.94K,1.48%
2022년 08월 19일,"20,831.30","23,201.60","23,202.30","20,807.80",339.47K,-10.22%
2022년 08월 18일,"23,203.60","23,337.70","23,578.00","23,131.30",160.97K,-0.58%
2022년 08월 17일,"23,338.00","23,855.80","24,423.50","23,191.60",239.53K,-2.17%
2022년 08월 16일,"23,856.80","24,102.60","24,240.80","23,693.80",201.70K,-1.02%
